Date,Horde Daily,Rewards (Incon/Adv/Beg),Mutator Set,Escape Daily,Rewards (Incon/Adv/Beg)_2
3/23/24,Reactor,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",The Warren,1 Legendary Card / 4 Cards / 200 Coins
3/24/24,Blood Drive,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Blight,"6 Cards / 4 Cards / 2,500 CXP"
3/25/24,Tomb,"10,000 CXP / 5,000 CXP / 200 Coins","Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Detour,"400 Coins / 300 Coins / 2,500 CXP"
3/26/24,Ritual,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Freezing Rifles, More Health, Ghost Flushers, Increased Accuracy, Shock Snipers, Survivor.",The End,"6 Cards / 4 Cards / 2,500 CXP"
3/27/24,Vasgar,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Ultra Stopping Power, More Health, Aggressive Enemies, Ultra Stopping Power, Survivor, Regen Penalty.",The Split,"400 Coins / 300 Coins / 2,500 CXP"
3/28/24,Pahanu,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Choke,"400 Coins / 300 Coins / 2,500 CXP"
3/29/24,Checkout,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Link,1 Legendary Card / 4 Cards / 200 Coins
3/30/24,Abyss,"10,000 CXP / 5,000 CXP / 200 Coins","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Onslaught,1 Legendary Card / 4 Cards / 200 Coins
3/31/24,Harbor,"10,000 CXP / 5,000 CXP / 200 Coins","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",Ice Queen,"10,000 CXP / 5,000 CXP / 200 Coins"
4/1/24,Training Grounds,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Mist,"6 Cards / 4 Cards / 2,500 CXP"
4/2/24,Atrium,"10,000 CXP / 5,000 CXP / 200 Coins","Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Malfunction,"10,000 CXP / 5,000 CXP / 200 Coins"
4/3/24,Rail Line,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Line,"10,000 CXP / 5,000 CXP / 200 Coins"
4/4/24,Canals,"400 Coins / 300 Coins / 2,500 CXP","Reduced Heavy Damage, More Lethal, Reduced Explosive Damage, Regen Penalty, Triple Melee Damage, Execution Rules, Survivor.",The Labyrinth,"10,000 CXP / 5,000 CXP / 200 Coins"
4/5/24,Bunker,"6 Cards / 4 Cards / 2,500 CXP","Shielded Grenadiers, More Health, Aggressive Enemies, More Lethal, Vampiric Drones, Survivor, Power Drain.",The Gatekeepers,"400 Coins / 300 Coins / 2,500 CXP"
4/6/24,Speyer,"10,000 CXP / 5,000 CXP / 200 Coins","Ghost Enemies, More Health, Reflective Shell Heavies, Long Range Gambit, More Lethal, Freezing Sniper Bullets, Survivor.",The Surge,"400 Coins / 300 Coins / 2,500 CXP"
4/7/24,Foundation,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",The Corruption,"10,000 CXP / 5,000 CXP / 200 Coins"
4/8/24,Overload,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Ultra Stopping Power, More Health, Aggressive Enemies, Ultra Stopping Power, Survivor, Regen Penalty.",The Blight,1 Legendary Card / 4 Cards / 200 Coins
4/9/24,Reclaimed,"10,000 CXP / 5,000 CXP / 200 Coins","Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",The Warren,1 Legendary Card / 4 Cards / 200 Coins
4/10/24,Turbine,"10,000 CXP / 5,000 CXP / 200 Coins","Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Detour,"6 Cards / 4 Cards / 2,500 CXP"
4/11/24,Clocktower,"10,000 CXP / 5,000 CXP / 200 Coins","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Descent,"400 Coins / 300 Coins / 2,500 CXP"
4/12/24,River,"400 Coins / 300 Coins / 2,500 CXP","Poison Flushers, More Melee Damage, More Health, Close Range Gambit, More Lethal, Poison Drones, Survivor.",The Hunters,"6 Cards / 4 Cards / 2,500 CXP"
4/13/24,Pahanu,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Mines,"6 Cards / 4 Cards / 2,500 CXP"
4/14/24,Icebound,1 Legendary Card / 4 Cards / 200 Coins,"Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",Last Stand,"10,000 CXP / 5,000 CXP / 200 Coins"
4/15/24,Regency,1 Legendary Card / 4 Cards / 200 Coins,"Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",Venom Run,1 Legendary Card / 4 Cards / 200 Coins
4/16/24,Ephyra,"6 Cards / 4 Cards / 2,500 CXP","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Mist,1 Legendary Card / 4 Cards / 200 Coins
4/17/24,Dam,"6 Cards / 4 Cards / 2,500 CXP","Reduced Heavy Damage, More Lethal, Reduced Explosive Damage, Regen Penalty, Triple Melee Damage, Execution Rules, Survivor.",The Trap,"6 Cards / 4 Cards / 2,500 CXP"
4/18/24,Harbor,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Wanderer,"10,000 CXP / 5,000 CXP / 200 Coins"
4/19/24,Lift,1 Legendary Card / 4 Cards / 200 Coins,"Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",Melee Brawl,1 Legendary Card / 4 Cards / 200 Coins
4/20/24,Atrium,"400 Coins / 300 Coins / 2,500 CXP","Ultra Power Drain, More Lethal, Ultra Slow Recharge, More Health, Instant Reload, Regen Penalty, Survivor.",Ice Queen,"400 Coins / 300 Coins / 2,500 CXP"
4/21/24,Blood Drive,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Barracks,"6 Cards / 4 Cards / 2,500 CXP"
4/22/24,Forge,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Freezing Rifles, More Health, Ghost Flushers, Increased Accuracy, Shock Snipers, Survivor.",The Gatekeepers,"400 Coins / 300 Coins / 2,500 CXP"
4/23/24,Speyer,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",Forever,1 Legendary Card / 4 Cards / 200 Coins
4/24/24,Village,"6 Cards / 4 Cards / 2,500 CXP","Ghost Enemies, More Health, Reflective Shell Heavies, Long Range Gambit, More Lethal, Freezing Sniper Bullets, Survivor.",Lethal Engagements,"10,000 CXP / 5,000 CXP / 200 Coins"
4/25/24,Tomb,1 Legendary Card / 4 Cards / 200 Coins,"Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Hive ,"400 Coins / 300 Coins / 2,500 CXP"
4/26/24,Vasgar,"10,000 CXP / 5,000 CXP / 200 Coins","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The End,1 Legendary Card / 4 Cards / 200 Coins
4/27/24,Clocktower,"10,000 CXP / 5,000 CXP / 200 Coins","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Choke,"6 Cards / 4 Cards / 2,500 CXP"
4/28/24,Dawn,"10,000 CXP / 5,000 CXP / 200 Coins","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Corruption,"400 Coins / 300 Coins / 2,500 CXP"
4/29/24,Reactor,"6 Cards / 4 Cards / 2,500 CXP","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Ambush,1 Legendary Card / 4 Cards / 200 Coins
4/30/24,Bunker,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Onslaught,"10,000 CXP / 5,000 CXP / 200 Coins"
5/1/24,Rail Line,"10,000 CXP / 5,000 CXP / 200 Coins","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Split,1 Legendary Card / 4 Cards / 200 Coins
5/2/24,Mercy,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Warren,1 Legendary Card / 4 Cards / 200 Coins
5/3/24,Gridlock,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Malfunction,"10,000 CXP / 5,000 CXP / 200 Coins"
5/4/24,Pahanu,"10,000 CXP / 5,000 CXP / 200 Coins","Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",The Clock,"6 Cards / 4 Cards / 2,500 CXP"
5/5/24,Harbor,"400 Coins / 300 Coins / 2,500 CXP","Ultra Power Drain, More Lethal, Ultra Slow Recharge, More Health, Instant Reload, Regen Penalty, Survivor.",The Mines,"6 Cards / 4 Cards / 2,500 CXP"
5/6/24,Exhibit,1 Legendary Card / 4 Cards / 200 Coins,"Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Labyrinth,"10,000 CXP / 5,000 CXP / 200 Coins"
5/7/24,Turbine,"10,000 CXP / 5,000 CXP / 200 Coins","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Barracks,"10,000 CXP / 5,000 CXP / 200 Coins"
5/8/24,Allfathers Arena,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",The Mist,1 Legendary Card / 4 Cards / 200 Coins
5/9/24,Training Grounds,"400 Coins / 300 Coins / 2,500 CXP","Ultra Power Drain, More Lethal, Ultra Slow Recharge, More Health, Instant Reload, Regen Penalty, Survivor.",The Gatekeepers,1 Legendary Card / 4 Cards / 200 Coins
5/10/24,Forge,"6 Cards / 4 Cards / 2,500 CXP","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",Melee Brawl,1 Legendary Card / 4 Cards / 200 Coins
5/11/24,Speyer,"400 Coins / 300 Coins / 2,500 CXP","Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Trap,"10,000 CXP / 5,000 CXP / 200 Coins"
5/12/24,River,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Hive ,1 Legendary Card / 4 Cards / 200 Coins
5/13/24,Icebound,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Descent,"10,000 CXP / 5,000 CXP / 200 Coins"
5/14/24,Nexus,"6 Cards / 4 Cards / 2,500 CXP","Ultra Power Drain, More Lethal, Ultra Slow Recharge, More Health, Instant Reload, Regen Penalty, Survivor.",The Wanderer,1 Legendary Card / 4 Cards / 200 Coins
5/15/24,Dam,1 Legendary Card / 4 Cards / 200 Coins,"Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Line,"400 Coins / 300 Coins / 2,500 CXP"
5/16/24,Foundation,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",Venom Run,"10,000 CXP / 5,000 CXP / 200 Coins"
5/17/24,District,1 Legendary Card / 4 Cards / 200 Coins,"Poison Flushers, Survivor, Reflective Shell Grenadiers, More Lethal, Healing Heavies, Power Drain, Execution Rules.",Lethal Engagements,"10,000 CXP / 5,000 CXP / 200 Coins"
5/18/24,Mercy,"6 Cards / 4 Cards / 2,500 CXP","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Malfunction,1 Legendary Card / 4 Cards / 200 Coins
5/19/24,Lift,"10,000 CXP / 5,000 CXP / 200 Coins","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Detour,"10,000 CXP / 5,000 CXP / 200 Coins"
5/20/24,Rail Line,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Freezing Rifles, More Health, Ghost Flushers, Increased Accuracy, Shock Snipers, Survivor.",The Corruption,1 Legendary Card / 4 Cards / 200 Coins
5/21/24,Village,1 Legendary Card / 4 Cards / 200 Coins,"Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Clock,1 Legendary Card / 4 Cards / 200 Coins
5/22/24,Ephyra,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",The Barracks,"400 Coins / 300 Coins / 2,500 CXP"
5/23/24,Turbine,"6 Cards / 4 Cards / 2,500 CXP","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The Hunters,"6 Cards / 4 Cards / 2,500 CXP"
5/24/24,Clocktower,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",The Choke,"10,000 CXP / 5,000 CXP / 200 Coins"
5/25/24,Abyss,"400 Coins / 300 Coins / 2,500 CXP","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Surge,"10,000 CXP / 5,000 CXP / 200 Coins"
5/26/24,Asylum,1 Legendary Card / 4 Cards / 200 Coins,"Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Onslaught,"6 Cards / 4 Cards / 2,500 CXP"
5/27/24,Training Grounds,"6 Cards / 4 Cards / 2,500 CXP","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The Warren,1 Legendary Card / 4 Cards / 200 Coins
5/28/24,Harbor,"6 Cards / 4 Cards / 2,500 CXP","Poison Flushers, Survivor, Reflective Shell Grenadiers, More Lethal, Healing Heavies, Power Drain, Execution Rules.",The Hive ,1 Legendary Card / 4 Cards / 200 Coins
5/29/24,Canals,1 Legendary Card / 4 Cards / 200 Coins,"Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Trap,"400 Coins / 300 Coins / 2,500 CXP"
5/30/24,Ritual,"6 Cards / 4 Cards / 2,500 CXP","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Gatekeepers,"400 Coins / 300 Coins / 2,500 CXP"
5/31/24,Foundation,"10,000 CXP / 5,000 CXP / 200 Coins","Shielded Grenadiers, More Health, Aggressive Enemies, More Lethal, Vampiric Drones, Survivor, Power Drain.",The Ambush,"10,000 CXP / 5,000 CXP / 200 Coins"
6/1/24,Command,"10,000 CXP / 5,000 CXP / 200 Coins","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Link,1 Legendary Card / 4 Cards / 200 Coins
6/2/24,Forge,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",Melee Brawl,"10,000 CXP / 5,000 CXP / 200 Coins"
6/3/24,River,"400 Coins / 300 Coins / 2,500 CXP","Reduced Heavy Damage, More Lethal, Reduced Explosive Damage, Regen Penalty, Triple Melee Damage, Execution Rules, Survivor.",Venom Run,"400 Coins / 300 Coins / 2,500 CXP"
6/4/24,Reactor,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The End,"10,000 CXP / 5,000 CXP / 200 Coins"
6/5/24,Reclaimed,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Freezing Rifles, More Health, Ghost Flushers, Increased Accuracy, Shock Snipers, Survivor.",The Detour,1 Legendary Card / 4 Cards / 200 Coins
6/6/24,Allfathers Arena,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",Ice Queen,1 Legendary Card / 4 Cards / 200 Coins
6/7/24,Tomb,"6 Cards / 4 Cards / 2,500 CXP","Reduced Heavy Damage, More Lethal, Reduced Explosive Damage, Regen Penalty, Triple Melee Damage, Execution Rules, Survivor.",The Labyrinth,1 Legendary Card / 4 Cards / 200 Coins
6/8/24,Mercy,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Blight,"400 Coins / 300 Coins / 2,500 CXP"
6/9/24,Bunker,"6 Cards / 4 Cards / 2,500 CXP","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Wanderer,"6 Cards / 4 Cards / 2,500 CXP"
6/10/24,Rail Line,"6 Cards / 4 Cards / 2,500 CXP","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The Corruption,"6 Cards / 4 Cards / 2,500 CXP"
6/11/24,District,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Choke,"6 Cards / 4 Cards / 2,500 CXP"
6/12/24,Lift,"10,000 CXP / 5,000 CXP / 200 Coins","Poison Flushers, More Melee Damage, More Health, Close Range Gambit, More Lethal, Poison Drones, Survivor.",The Mist,"400 Coins / 300 Coins / 2,500 CXP"
6/13/24,Training Grounds,"400 Coins / 300 Coins / 2,500 CXP","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Clock,"6 Cards / 4 Cards / 2,500 CXP"
6/14/24,Speyer,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Onslaught,"6 Cards / 4 Cards / 2,500 CXP"
6/15/24,Village,"6 Cards / 4 Cards / 2,500 CXP","Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Trap,"400 Coins / 300 Coins / 2,500 CXP"
6/16/24,Clocktower,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Gauntlet,"6 Cards / 4 Cards / 2,500 CXP"
6/17/24,Vasgar,1 Legendary Card / 4 Cards / 200 Coins,"Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The Malfunction,1 Legendary Card / 4 Cards / 200 Coins
6/18/24,Overload,"10,000 CXP / 5,000 CXP / 200 Coins","Shielded Grenadiers, More Health, Aggressive Enemies, More Lethal, Vampiric Drones, Survivor, Power Drain.",Venom Run,"6 Cards / 4 Cards / 2,500 CXP"
6/19/24,River,"6 Cards / 4 Cards / 2,500 CXP","Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",The Hive ,"10,000 CXP / 5,000 CXP / 200 Coins"
6/20/24,Gridlock,"10,000 CXP / 5,000 CXP / 200 Coins","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Line,1 Legendary Card / 4 Cards / 200 Coins
6/21/24,Canals,1 Legendary Card / 4 Cards / 200 Coins,"Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Mines,"6 Cards / 4 Cards / 2,500 CXP"
6/22/24,Checkout,1 Legendary Card / 4 Cards / 200 Coins,"Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Gatekeepers,1 Legendary Card / 4 Cards / 200 Coins
6/23/24,Icebound,"6 Cards / 4 Cards / 2,500 CXP","Poison Flushers, Survivor, Reflective Shell Grenadiers, More Lethal, Healing Heavies, Power Drain, Execution Rules.",The Detour,"400 Coins / 300 Coins / 2,500 CXP"
6/24/24,Asylum,"10,000 CXP / 5,000 CXP / 200 Coins","Ghost Enemies, More Health, Reflective Shell Heavies, Long Range Gambit, More Lethal, Freezing Sniper Bullets, Survivor.",The Link,"10,000 CXP / 5,000 CXP / 200 Coins"
6/25/24,Abyss,"6 Cards / 4 Cards / 2,500 CXP","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",Lethal Engagements,"10,000 CXP / 5,000 CXP / 200 Coins"
6/26/24,Dam,1 Legendary Card / 4 Cards / 200 Coins,"Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",Melee Brawl,"10,000 CXP / 5,000 CXP / 200 Coins"
6/27/24,District,"10,000 CXP / 5,000 CXP / 200 Coins","Ghost Enemies, More Health, Reflective Shell Heavies, Long Range Gambit, More Lethal, Freezing Sniper Bullets, Survivor.",The Blight,"10,000 CXP / 5,000 CXP / 200 Coins"
6/28/24,Forge,"400 Coins / 300 Coins / 2,500 CXP","Poison Flushers, Survivor, Reflective Shell Grenadiers, More Lethal, Healing Heavies, Power Drain, Execution Rules.",The Split,"400 Coins / 300 Coins / 2,500 CXP"
6/29/24,Command,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Freezing Rifles, More Health, Ghost Flushers, Increased Accuracy, Shock Snipers, Survivor.",The Hunters,"400 Coins / 300 Coins / 2,500 CXP"
6/30/24,Atrium,1 Legendary Card / 4 Cards / 200 Coins,"Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",Ice Queen,"400 Coins / 300 Coins / 2,500 CXP"
7/1/24,Foundation,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",Forever,"10,000 CXP / 5,000 CXP / 200 Coins"
7/2/24,Mercy,1 Legendary Card / 4 Cards / 200 Coins,"Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The End,"400 Coins / 300 Coins / 2,500 CXP"
7/3/24,Overload,"10,000 CXP / 5,000 CXP / 200 Coins","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Malfunction,"6 Cards / 4 Cards / 2,500 CXP"
7/4/24,Turbine,"400 Coins / 300 Coins / 2,500 CXP","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Ambush,"400 Coins / 300 Coins / 2,500 CXP"
7/5/24,River,"400 Coins / 300 Coins / 2,500 CXP","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Surge,1 Legendary Card / 4 Cards / 200 Coins
7/6/24,Reclaimed,"6 Cards / 4 Cards / 2,500 CXP","Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Line,"6 Cards / 4 Cards / 2,500 CXP"
7/7/24,Reactor,"400 Coins / 300 Coins / 2,500 CXP","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Corruption,"10,000 CXP / 5,000 CXP / 200 Coins"
